Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
Middle Atlantic Division!!Estimate,2016,"41,439","103,795","191,157","427,085","310,515","234,239","150,693","17,427","3,852","45,431","96,814","133,155","271,385","218,063","185,946","134,634","20,861","9,650","1,429,514","2,929,075","1,733,541","2,363,301","2,142,654","2,523,479","2,498,269","1,676,437","1,074,070","1,352,732","2,818,635","1,775,454","2,563,924","2,355,486","2,741,759","2,742,068","1,973,556","1,632,501"
East North Central Division!!Estimate,2016,"58,720","128,315","247,360","425,119","312,196","248,594","170,600","12,607","2,996","51,605","128,026","169,226","262,709","219,983","195,448","164,164","15,455","4,766","1,655,583","3,556,191","1,992,074","2,550,923","2,450,579","2,791,226","2,872,010","1,935,446","1,175,213","1,577,063","3,415,375","2,021,776","2,748,009","2,625,098","2,956,106","3,073,572","2,185,838","1,719,959"
West North Central Division!!Estimate,2016,"31,862","70,105","133,271","195,024","142,049","114,157","88,101","2,471",895,"29,895","69,526","95,992","149,940","120,835","96,482","77,877","3,756","2,136","813,051","1,637,175","899,848","1,172,870","1,117,942","1,202,082","1,271,775","871,553","545,467","759,095","1,559,984","901,750","1,218,977","1,140,161","1,242,446","1,341,023","952,339","777,938"
South Atlantic Division!!Estimate,2016,"99,833","273,841","520,247","919,351","734,657","589,366","385,784","30,039","10,009","93,052","250,462","422,121","693,219","599,556","538,736","415,259","40,645","15,378","2,173,113","4,573,171","2,329,165","3,053,232","3,039,213","3,535,606","3,471,912","2,804,221","1,740,352","2,081,712","4,396,602","2,426,355","3,558,041","3,488,768","3,870,996","3,912,854","3,261,477","2,415,543"
East South Central Division!!Estimate,2016,"19,868","54,800","139,578","238,092","174,710","148,915","94,081","4,704",975,"19,709","49,977","103,000","171,882","141,612","133,201","95,997","3,601","2,112","681,720","1,461,096","748,646","909,328","929,294","1,046,789","1,065,669","809,307","452,624","656,725","1,386,153","789,685","1,060,539","1,059,136","1,149,322","1,197,199","934,089","673,856"
West South Central Division!!Estimate,2016,"108,403","309,168","505,227","744,988","590,157","438,214","281,114","21,986","5,922","104,016","278,493","434,483","657,423","546,112","424,249","288,642","25,576","12,472","1,583,688","3,142,114","1,429,667","1,952,034","1,875,843","1,933,845","1,889,188","1,374,082","801,563","1,506,034","3,030,579","1,447,371","2,127,450","2,032,351","2,065,647","2,061,769","1,581,933","1,131,371"
Mountain Division!!Estimate,2016,"45,527","125,959","175,442","316,436","227,195","187,579","121,424","7,902","3,571","44,529","123,063","131,546","199,079","189,869","154,887","121,903","12,229","3,794","900,151","1,889,766","970,796","1,321,686","1,262,127","1,241,734","1,266,169","1,005,761","603,604","862,248","1,783,693","982,099","1,412,312","1,300,640","1,295,861","1,367,144","1,092,575","765,044"
Pacific Division!!Estimate,2016,"47,057","137,594","288,084","575,711","448,571","336,910","214,349","21,952","6,272","44,131","134,560","208,642","364,451","328,138","280,149","197,574","28,545","11,372","1,985,230","3,994,594","2,218,127","3,313,086","2,932,861","3,069,110","2,884,564","2,001,041","1,243,959","1,895,500","3,829,401","2,227,657","3,444,264","3,098,234","3,181,861","3,115,832","2,265,867","1,724,177"
New England Division!!Estimate,2017,"10,545","28,020","59,034","94,961","73,734","62,355","41,616","3,781",867,"9,012","25,088","40,708","53,850","44,949","48,515","41,040","4,674","1,275","454,362","1,128,935","659,038","765,007","771,283","930,057","966,462","667,728","398,056","431,920","1,082,796","666,823","820,288","845,110","1,009,119","1,043,889","755,599","589,980"
Middle Atlantic Division!!Estimate,2017,"46,598","117,262","201,024","367,493","291,059","221,868","151,606","15,031","4,062","46,655","110,105","142,973","229,439","211,807","174,739","134,581","18,624","8,287","1,404,092","3,196,636","1,718,988","2,152,375","2,184,521","2,482,437","2,528,302","1,739,735","1,120,419","1,342,218","3,068,163","1,772,102","2,330,793","2,367,076","2,704,577","2,772,490","2,041,334","1,693,499"
East North Central Division!!Estimate,2017,"58,101","164,971","263,582","393,092","300,780","238,933","179,998","15,275","5,630","60,684","158,680","188,935","248,139","224,832","201,865","174,607","15,410","7,099","1,641,455","3,848,308","1,942,273","2,297,979","2,463,604","2,748,263","2,877,060","2,010,942","1,209,523","1,560,484","3,680,648","1,971,990","2,470,924","2,629,134","2,888,413","3,078,997","2,274,384","1,755,763"
West North Central Division!!Estimate,2017,"33,006","91,218","134,106","185,051","145,548","119,437","89,926","4,626","1,018","32,162","82,226","97,200","141,711","118,283","105,908","87,487","5,328","1,652","807,948","1,771,115","869,471","1,076,620","1,130,232","1,163,995","1,282,099","906,771","557,886","770,537","1,688,882","871,901","1,109,134","1,153,544","1,200,433","1,342,937","992,251","786,965"
South Atlantic Division!!Estimate,2017,"106,736","349,306","566,322","852,676","768,152","626,521","425,069","26,929","10,863","105,742","316,717","458,859","653,988","619,958","562,775","444,792","38,261","16,092","2,169,469","4,957,379","2,300,773","2,744,973","3,062,614","3,484,618","3,511,507","2,884,792","1,824,242","2,081,451","4,808,800","2,391,406","3,192,337","3,507,332","3,842,375","3,968,141","3,383,764","2,486,482"
East South Central Division!!Estimate,2017,"27,120","74,732","163,724","212,091","183,677","148,716","103,044","4,348","1,219","20,256","62,619","122,022","150,737","139,174","137,013","109,738","3,319","1,500","674,900","1,580,127","711,504","815,969","921,636","1,037,752","1,077,839","829,392","469,439","647,152","1,525,303","757,205","949,963","1,064,916","1,122,176","1,196,111","967,121","684,258"
West South Central Division!!Estimate,2017,"111,174","391,814","533,645","687,344","615,764","451,570","298,008","20,549","6,643","107,911","375,634","454,258","567,158","565,465","432,400","313,923","28,002","15,640","1,577,973","3,407,101","1,388,394","1,752,045","1,905,203","1,933,382","1,911,281","1,434,573","819,621","1,501,993","3,253,992","1,420,017","1,941,053","2,065,385","2,060,361","2,084,133","1,628,665","1,155,715"
Mountain Division!!Estimate,2017,"49,232","155,386","187,310","275,823","239,519","177,933","134,578","9,902","3,661","45,230","145,404","141,110","192,352","192,267","149,638","124,097","10,476","5,759","891,441","2,042,061","976,396","1,220,162","1,275,416","1,246,238","1,279,346","1,035,850","627,813","852,685","1,954,900","964,580","1,283,331","1,329,997","1,293,898","1,386,199","1,139,051","776,414"
Pacific Division!!Estimate,2017,"53,252","155,191","319,174","518,757","452,614","343,518","218,705","22,849","9,024","47,544","149,477","218,625","321,365","328,502","275,417","201,998","25,605","12,517","1,956,707","4,344,381","2,225,515","3,030,818","2,988,707","3,035,397","2,925,517","2,072,729","1,276,136","1,870,898","4,173,302","2,253,278","3,131,529","3,149,852","3,164,180","3,148,058","2,354,337","1,763,453"
New England Division!!Estimate,2018,"7,729","23,998","52,356","94,208","70,244","59,710","47,626","3,118",867,"9,501","26,116","36,773","53,747","47,600","44,829","41,977","4,545","1,553","449,845","1,120,197","662,329","783,039","784,897","905,972","967,324","684,185","415,314","434,171","1,076,285","666,135","830,030","848,467","982,667","1,055,007","778,136","608,354"
Middle Atlantic Division!!Estimate,2018,"48,968","108,950","183,998","356,254","276,512","211,846","143,915","14,371","5,088","44,416","108,589","134,267","229,302","197,632","169,593","135,831","17,976","8,101","1,386,143","3,134,923","1,672,918","2,161,544","2,180,320","2,406,941","2,528,581","1,778,754","1,147,252","1,327,534","3,026,780","1,720,305","2,308,901","2,355,309","2,610,873","2,768,129","2,073,890","1,726,229"
East North Central Division!!Estimate,2018,"72,710","171,275","272,541","386,797","321,114","250,077","183,549","13,467","4,441","60,735","168,263","193,350","265,317","240,159","203,038","181,640","16,389","6,483","1,621,882","3,800,881","1,934,011","2,328,266","2,467,084","2,662,880","2,879,455","2,068,043","1,260,363","1,560,776","3,625,187","1,944,366","2,473,684","2,625,725","2,816,560","3,079,228","2,331,122","1,811,978"
West North Central Division!!Estimate,2018,"34,003","83,919","139,513","183,390","157,401","122,462","97,898","6,054","1,116","33,447","86,231","104,505","136,518","117,314","103,909","90,624","3,837","2,213","792,380","1,787,679","859,725","1,071,018","1,144,690","1,127,866","1,275,331","929,647","584,214","761,785","1,689,307","876,517","1,110,437","1,181,663","1,166,994","1,349,916","1,027,503","803,639"
South Atlantic Division!!Estimate,2018,"113,190","360,797","579,829","868,873","766,665","619,012","424,063","32,183","10,568","105,053","334,737","456,387","651,852","639,642","552,566","460,401","37,654","18,843","2,158,615","5,006,136","2,243,775","2,822,230","3,098,747","3,433,470","3,559,134","2,951,780","1,924,042","2,074,071","4,783,311","2,403,437","3,238,489","3,542,685","3,796,535","4,016,539","3,478,741","2,606,969"
East South Central Division!!Estimate,2018,"26,624","72,554","161,594","222,016","199,880","150,043","114,206","3,838",738,"25,469","74,448","122,461","166,423","153,679","145,402","112,458","4,500","1,583","674,466","1,581,855","711,173","823,254","914,042","1,009,951","1,069,719","854,078","491,986","645,402","1,483,012","759,048","958,617","1,046,990","1,100,066","1,201,659","988,109","714,412"
West South Central Division!!Estimate,2018,"118,708","406,168","546,461","694,321","613,610","478,658","313,366","25,126","9,749","117,724","386,529","454,784","597,451","575,048","451,982","324,071","30,737","13,663","1,558,879","3,397,752","1,384,756","1,776,090","1,947,444","1,897,792","1,920,646","1,475,194","862,373","1,503,362","3,254,904","1,428,076","1,939,918","2,088,559","2,040,320","2,098,904","1,693,195","1,195,033"
Mountain Division!!Estimate,2018,"53,037","164,747","192,107","282,418","245,630","189,780","132,027","9,723","2,493","52,514","148,664","144,267","207,371","198,272","162,062","133,270","13,437","5,593","888,133","2,054,190","968,883","1,254,142","1,313,616","1,236,871","1,292,182","1,078,692","667,926","846,506","1,955,725","977,949","1,293,085","1,357,743","1,286,067","1,394,297","1,185,258","822,670"
Pacific Division!!Estimate,2018,"50,011","159,181","326,221","529,114","464,260","344,871","224,133","26,817","7,538","45,541","150,824","227,816","335,567","328,218","280,430","204,840","26,479","10,077","1,944,667","4,328,211","2,176,491","3,063,623","3,020,636","2,983,492","2,932,319","2,134,460","1,334,212","1,846,156","4,180,632","2,189,080","3,169,405","3,176,756","3,101,685","3,150,324","2,425,455","1,823,180"
New England Division!!Estimate,2019,"10,913","30,335","58,508","99,168","77,043","61,324","46,626","5,161",972,"10,974","28,327","37,665","58,920","50,378","50,580","41,171","2,815","1,405","447,950","1,095,059","648,399","787,018","788,402","871,809","971,595","702,056","432,955","422,703","1,056,643","667,832","823,537","849,666","949,622","1,054,903","805,572","620,302"
Middle Atlantic Division!!Estimate,2019,"47,155","116,998","190,333","339,178","281,153","211,140","159,093","19,501","4,791","41,745","110,925","134,175","224,296","197,520","176,273","144,077","18,744","8,220","1,373,780","3,113,689","1,644,479","2,170,486","2,175,393","2,324,403","2,515,358","1,830,455","1,176,189","1,319,101","2,986,109","1,675,248","2,321,702","2,363,310","2,513,832","2,765,295","2,135,410","1,752,359"
East North Central Division!!Estimate,2019,"70,821","186,903","283,954","409,142","340,095","259,342","200,774","13,817","3,466","64,989","175,815","187,408","270,031","261,808","212,361","196,471","15,249","6,837","1,616,484","3,747,045","1,887,239","2,323,207","2,447,305","2,581,869","2,852,946","2,136,446","1,293,038","1,538,215","3,606,244","1,933,970","2,477,868","2,618,708","2,733,675","3,054,777","2,415,509","1,841,919"
West North Central Division!!Estimate,2019,"37,488","94,921","148,922","192,067","159,594","121,479","106,541","5,977",840,"38,468","92,148","108,318","145,257","129,858","101,246","102,070","5,022","2,136","788,727","1,760,924","844,657","1,057,393","1,160,077","1,099,417","1,267,969","962,762","598,633","743,512","1,689,116","845,978","1,120,913","1,188,555","1,131,690","1,335,785","1,063,768","828,698"
South Atlantic Division!!Estimate,2019,"97,990","361,367","584,630","875,108","781,165","624,404","449,843","32,788","8,893","106,696","355,102","456,492","655,214","633,335","550,595","470,417","45,456","17,659","2,178,785","4,957,665","2,252,832","2,800,745","3,111,446","3,369,304","3,595,313","3,035,030","2,011,396","2,051,172","4,790,671","2,389,771","3,250,572","3,566,830","3,752,102","4,054,467","3,591,604","2,704,444"
East South Central Division!!Estimate,2019,"27,836","82,732","162,028","231,951","205,402","156,222","113,952","4,672","1,022","26,785","74,083","127,879","168,972","157,364","143,273","118,466","5,694","1,650","674,861","1,544,413","709,534","815,635","909,083","986,878","1,069,694","875,035","512,316","649,665","1,477,457","744,978","961,939","1,054,515","1,080,987","1,203,615","1,020,817","729,929"
West South Central Division!!Estimate,2019,"144,996","445,828","538,590","732,532","659,424","482,237","326,883","24,699","8,562","138,105","446,107","475,933","600,837","586,526","466,163","340,861","29,872","13,863","1,517,026","3,353,066","1,374,033","1,755,222","1,948,928","1,871,461","1,922,323","1,521,516","897,099","1,449,481","3,208,360","1,411,802","1,959,597","2,114,627","2,012,340","2,105,569","1,757,290","1,246,614"
Mountain Division!!Estimate,2019,"54,811","180,549","201,013","287,585","253,766","196,322","136,454","9,591","2,897","54,312","166,502","168,650","216,610","206,306","170,498","146,816","12,123","5,345","876,851","2,033,521","971,023","1,281,675","1,339,588","1,228,091","1,302,856","1,115,444","699,853","840,339","1,937,115","957,076","1,317,728","1,376,025","1,269,243","1,390,863","1,232,648","858,161"
Pacific Division!!Estimate,2019,"54,398","173,828","325,797","553,868","454,117","366,486","242,600","24,666","7,798","54,171","169,979","239,345","352,319","339,610","307,982","233,699","27,327","12,140","1,894,373","4,292,250","2,131,454","3,052,882","3,065,911","2,902,372","2,911,473","2,199,734","1,379,587","1,816,330","4,126,628","2,147,767","3,146,157","3,198,543","3,020,432","3,122,341","2,511,953","1,874,206"
New England Division!!Estimate,2021,"6,988","26,700","41,457","83,626","81,003","51,925","39,378","4,312","1,581","6,853","26,722","33,560","48,482","41,005","38,089","35,826","4,607","2,542","438,506","1,127,310","647,510","813,074","846,686","871,284","1,007,465","772,061","434,228","425,399","1,075,639","666,815","849,641","911,983","922,653","1,071,395","862,995","604,036"
Middle Atlantic Division!!Estimate,2021,"41,699","120,867","175,340","332,790","289,979","221,487","163,797","19,499","5,999","42,823","111,924","126,444","197,234","195,339","160,541","141,334","22,893","7,567","1,356,642","3,258,467","1,602,045","2,186,183","2,337,439","2,338,308","2,624,129","2,032,826","1,186,321","1,301,397","3,098,605","1,667,003","2,347,028","2,490,000","2,484,809","2,813,597","2,302,039","1,725,680"
East North Central Division!!Estimate,2021,"65,153","168,015","259,097","393,046","319,049","240,962","204,625","15,505","4,253","62,412","163,104","178,412","239,747","227,982","200,269","180,213","15,219","7,716","1,573,301","3,835,328","1,886,990","2,334,818","2,602,466","2,583,311","2,876,068","2,322,192","1,270,664","1,494,362","3,671,471","1,915,894","2,511,964","2,727,522","2,666,227","3,021,438","2,580,471","1,773,480"
West North Central Division!!Estimate,2021,"37,239","92,338","138,230","182,001","168,268","115,458","100,863","5,448","1,542","32,762","86,700","103,457","126,367","122,521","98,913","98,930","5,004","2,017","768,151","1,836,420","854,403","1,042,136","1,235,335","1,105,797","1,282,074","1,055,541","587,427","725,282","1,728,889","859,655","1,101,616","1,253,487","1,113,934","1,312,866","1,140,803","793,844"
South Atlantic Division!!Estimate,2021,"109,235","339,662","536,560","834,841","743,631","572,309","443,277","31,187","9,965","110,390","322,732","419,713","596,664","575,124","499,613","453,885","41,863","17,999","2,118,107","5,108,447","2,233,594","2,848,968","3,318,848","3,447,798","3,736,652","3,251,192","2,011,585","2,006,201","4,917,434","2,392,813","3,299,321","3,761,131","3,730,637","4,087,413","3,780,158","2,678,952"
East South Central Division!!Estimate,2021,"27,252","88,105","163,108","227,431","198,639","149,263","122,650","7,570",532,"21,553","79,027","117,185","162,147","153,112","130,716","111,874","6,180","2,120","670,660","1,566,702","702,961","834,009","978,736","995,727","1,098,027","938,821","510,788","635,260","1,533,978","747,272","975,813","1,095,951","1,082,471","1,208,841","1,079,947","720,210"
West South Central Division!!Estimate,2021,"126,578","449,552","548,427","723,266","665,923","491,997","359,307","31,447","6,084","116,092","401,449","450,827","593,563","577,227","445,265","348,112","31,450","13,831","1,493,607","3,439,146","1,359,996","1,768,968","2,064,736","1,908,188","1,946,144","1,635,647","908,018","1,424,432","3,308,014","1,436,072","1,974,377","2,216,898","2,029,969","2,078,901","1,870,509","1,221,145"
Mountain Division!!Estimate,2021,"50,265","178,223","197,090","293,574","259,305","196,909","143,509","11,628","2,257","56,925","164,385","145,378","199,132","192,676","168,596","134,881","14,424","4,589","843,456","2,078,681","952,230","1,298,454","1,433,199","1,273,924","1,316,611","1,197,710","711,963","789,251","1,991,490","977,210","1,360,162","1,457,190","1,279,400","1,388,072","1,304,735","852,536"
Pacific Division!!Estimate,2021,"51,991","171,638","297,059","476,470","441,250","340,237","225,329","32,425","7,853","47,761","159,574","203,710","301,580","312,436","276,090","199,300","34,821","11,052","1,795,500","4,360,982","2,053,444","3,034,515","3,217,336","2,946,706","2,967,412","2,341,489","1,377,902","1,705,686","4,163,612","2,103,251","3,143,016","3,287,707","2,997,925","3,086,845","2,618,731","1,840,315"
New England Division!!Estimate,2022,"10,929","29,201","53,498","81,821","67,190","50,424","42,137","6,292","1,264","8,553","26,870","31,567","50,840","39,319","39,623","33,157","4,566","2,811","437,817","1,100,415","660,682","811,348","879,278","862,464","997,052","776,586","469,505","417,523","1,059,440","674,886","837,561","922,978","896,917","1,058,569","867,103","655,577"
Middle Atlantic Division!!Estimate,2022,"50,200","125,898","166,586","281,939","280,396","196,382","153,332","21,058","5,370","45,253","116,686","131,350","190,908","181,434","146,314","126,541","23,249","9,984","1,318,080","3,182,913","1,691,248","2,241,711","2,378,321","2,325,932","2,576,524","2,026,510","1,262,922","1,254,609","3,052,456","1,731,558","2,309,605","2,488,913","2,431,041","2,750,158","2,298,289","1,859,343"
East North Central Division!!Estimate,2022,"62,482","159,243","233,872","368,485","297,675","225,738","186,968","16,790","3,185","58,341","151,733","166,829","212,404","204,292","189,191","159,362","16,460","6,519","1,535,571","3,789,042","1,970,001","2,402,146","2,639,939","2,574,002","2,827,514","2,332,877","1,361,300","1,454,382","3,602,759","1,960,914","2,515,298","2,740,199","2,623,244","2,962,415","2,583,343","1,905,408"
West North Central Division!!Estimate,2022,"33,245","91,500","132,178","177,264","151,805","110,446","92,573","6,382","1,432","31,186","87,082","92,252","114,025","112,805","87,720","81,743","5,633","3,552","756,893","1,797,406","893,412","1,074,888","1,257,740","1,119,467","1,250,634","1,059,218","625,961","707,239","1,717,527","890,270","1,117,937","1,277,096","1,102,353","1,294,432","1,141,026","853,058"
South Atlantic Division!!Estimate,2022,"100,253","337,390","517,046","761,235","713,877","536,775","412,125","36,654","8,984","97,704","307,863","394,202","551,699","538,683","455,166","404,743","43,098","17,751","2,105,282","5,122,899","2,394,579","2,987,364","3,449,440","3,498,912","3,764,169","3,242,037","2,171,238","2,040,015","4,862,961","2,555,376","3,378,129","3,846,275","3,754,650","4,107,731","3,792,170","2,907,869"
East South Central Division!!Estimate,2022,"28,365","82,676","154,225","215,816","186,303","136,976","111,334","5,513","1,253","25,378","71,728","111,740","150,263","141,983","111,237","99,832","6,012","2,228","654,078","1,576,064","744,091","880,799","988,443","1,015,405","1,086,724","935,732","542,727","631,494","1,517,014","782,005","998,658","1,110,110","1,089,537","1,193,681","1,085,955","765,123"
West South Central Division!!Estimate,2022,"111,472","398,268","528,063","691,011","639,292","465,684","302,228","28,737","7,912","105,316","395,794","411,614","549,447","515,906","418,651","310,063","31,744","12,984","1,487,580","3,490,699","1,489,935","1,849,760","2,159,538","1,997,683","1,973,357","1,650,094","952,508","1,419,967","3,322,211","1,541,604","2,029,192","2,309,933","2,077,656","2,092,537","1,876,091","1,310,419"
Mountain Division!!Estimate,2022,"49,193","149,963","196,969","284,630","234,624","181,804","134,267","11,862","3,335","48,955","146,097","149,242","190,744","178,818","161,086","120,795","14,562","5,600","811,667","2,076,901","1,052,998","1,334,363","1,478,350","1,302,743","1,307,989","1,195,847","760,084","800,896","1,962,100","1,032,534","1,371,964","1,485,565","1,292,908","1,371,964","1,317,191","930,932"
Pacific Division!!Estimate,2022,"45,421","155,515","274,197","467,527","413,146","319,264","211,334","29,220","9,040","45,265","140,901","181,267","288,919","276,379","247,212","187,353","30,567","15,117","1,714,856","4,298,592","2,131,808","3,055,466","3,282,562","2,976,675","2,936,705","2,341,081","1,479,968","1,641,048","4,090,056","2,155,168","3,123,476","3,303,044","2,988,035","3,014,938","2,625,303","2,003,968"
New England Division!!Estimate,2023,"10,127","29,822","49,162","89,453","70,955","51,709","41,331","6,646","1,950","10,707","27,024","34,648","52,776","48,388","34,444","33,578","5,586","3,152","441,318","1,096,669","640,994","805,824","899,578","835,962","979,949","797,478","492,716","413,322","1,056,733","648,400","846,052","935,751","892,287","1,051,354","894,800","663,390"
Middle Atlantic Division!!Estimate,2023,"46,916","130,901","177,638","311,125","277,427","197,488","139,517","22,265","6,028","48,858","127,579","124,217","190,264","189,252","148,793","121,063","23,301","9,951","1,320,764","3,172,615","1,626,760","2,162,692","2,404,227","2,284,231","2,547,888","2,081,848","1,308,961","1,257,905","3,030,597","1,671,441","2,320,820","2,516,781","2,417,422","2,724,447","2,362,684","1,851,263"
East North Central Division!!Estimate,2023,"64,959","170,357","234,783","359,369","299,286","214,944","174,749","17,434","4,544","61,691","149,731","158,832","222,169","193,498","169,474","149,967","19,015","6,493","1,511,613","3,807,664","1,894,558","2,399,793","2,640,796","2,572,834","2,779,738","2,392,090","1,413,854","1,452,235","3,621,291","1,913,048","2,532,466","2,795,280","2,644,923","2,930,466","2,658,693","1,909,247"
West North Central Division!!Estimate,2023,"32,320","89,422","129,585","168,204","143,120","93,987","87,461","6,533","2,158","29,538","80,745","94,133","106,649","103,051","74,014","73,986","5,843","2,631","737,204","1,822,033","886,817","1,078,409","1,266,911","1,140,082","1,228,795","1,095,760","649,042","703,709","1,740,628","879,282","1,127,604","1,310,477","1,138,416","1,280,290","1,174,304","843,618"
South Atlantic Division!!Estimate,2023,"111,121","361,703","491,889","763,488","721,080","506,229","383,240","39,053","11,990","105,889","328,589","389,481","555,550","545,253","440,531","374,557","42,589","15,040","2,127,672","5,178,822","2,358,602","3,012,976","3,531,424","3,519,673","3,794,118","3,329,983","2,265,715","2,031,861","4,933,245","2,492,457","3,437,950","3,971,834","3,817,341","4,166,187","3,890,435","2,961,113"
East South Central Division!!Estimate,2023,"27,797","87,993","148,276","202,489","191,863","135,513","97,826","6,401","1,682","25,704","77,573","112,178","127,284","152,947","113,693","100,793","7,165","2,340","672,687","1,579,192","739,734","886,067","1,010,012","1,012,287","1,082,776","956,097","565,961","642,127","1,513,347","773,267","1,029,171","1,126,687","1,104,766","1,188,138","1,101,537","768,815"
West South Central Division!!Estimate,2023,"126,178","446,190","520,891","672,794","609,606","456,817","287,585","32,439","8,421","121,624","423,623","420,699","523,607","533,863","402,902","307,483","35,805","15,539","1,469,459","3,503,172","1,450,577","1,883,091","2,247,496","2,016,521","1,992,503","1,696,768","1,003,188","1,412,065","3,344,114","1,518,031","2,096,179","2,369,281","2,147,536","2,107,124","1,939,899","1,335,390"
Mountain Division!!Estimate,2023,"52,095","164,291","184,605","276,548","244,588","181,077","129,231","14,711","2,583","45,035","147,744","140,129","181,257","185,137","154,392","120,130","13,355","4,144","815,399","2,058,164","1,013,104","1,366,644","1,488,346","1,316,385","1,304,372","1,233,731","803,045","783,978","1,971,002","1,011,596","1,411,645","1,505,408","1,326,078","1,376,740","1,358,188","962,233"
Pacific Division!!Estimate,2023,"46,256","162,294","276,413","439,699","405,465","321,671","206,197","31,327","8,286","41,460","141,163","190,967","269,597","277,536","247,249","178,678","29,583","13,188","1,699,043","4,276,053","2,056,306","3,015,707","3,330,332","2,924,353","2,915,658","2,393,922","1,540,156","1,613,902","4,090,620","2,094,574","3,130,652","3,362,609","2,994,079","3,021,612","2,685,795","2,030,551"
